2019-03-28 09:12:26,241, [15], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 09:12:26,261, [15], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 09:43:10,081, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 09:43:10,110, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 10:01:39,229, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 10:01:39,264, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 12:36:05,310, [14], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 12:36:05,343, [14], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:30:40,987, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:30:41,015, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:32:03,278, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:32:03,297, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:34:18,072, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:34:18,832, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:41:25,636, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:41:25,653, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:46:25,531, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:46:25,550, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:49:14,363, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:49:14,381, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:50:13,534, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:50:13,551, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-28 14:51:12,473, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-28 14:51:12,498, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
