2019-03-26 10:38:28,487, [14], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 10:38:28,519, [14], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 10:40:44,078, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 10:40:44,109, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 10:51:16,472, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 10:51:16,491, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 13:25:06,725, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 13:25:06,754, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 15:19:17,023, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 15:19:17,047, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 15:27:08,000, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 15:27:08,018, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 15:46:19,834, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 15:46:19,859, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 15:51:02,702, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 15:51:02,719, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 15:52:17,300, [12], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 15:52:17,322, [12], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
2019-03-26 16:02:40,073, [14], INFO , Elements.Core.BaseClass.Initialize, [(null)], Entering the Method
2019-03-26 16:02:40,089, [14], INFO , Elements.Test.PageTests.LoginToElements, [(null)], Log current method
